Date,Open,High,Low,Close,Adj Close,Volume
2023-10-17,1.055431,1.059500,1.053341,1.055431,1.055431,0
2023-10-18,1.057306,1.059547,1.052709,1.057306,1.057306,0
2023-10-19,1.053852,1.058537,1.052886,1.053852,1.053852,0
2023-10-20,1.058649,1.060108,1.056580,1.058649,1.058649,0
2023-10-23,1.058997,1.064736,1.057183,1.058997,1.058997,0
2023-10-24,1.066985,1.069050,1.058425,1.066985,1.066985,0
2023-10-25,1.059535,1.060670,1.056680,1.059535,1.059535,0
2023-10-26,1.056725,1.056971,1.052632,1.056725,1.056725,0
2023-10-27,1.056446,1.059771,1.053630,1.056446,1.056446,0
2023-10-30,1.056245,1.062600,1.054841,1.056245,1.056245,0
2023-10-31,1.061504,1.066906,1.056759,1.061504,1.061504,0
2023-11-01,1.057910,1.058078,1.052288,1.057910,1.057910,0
2023-11-02,1.058705,1.067008,1.058425,1.058705,1.058705,0
2023-11-03,1.061909,1.073700,1.061549,1.061909,1.061909,0
2023-11-06,1.073215,1.075700,1.072340,1.073215,1.073215,0
2023-11-07,1.072156,1.072156,1.066473,1.072156,1.072156,0
2023-11-08,1.069610,1.071605,1.066064,1.069610,1.069610,0
2023-11-09,1.071042,1.072800,1.068148,1.071042,1.071042,0
2023-11-10,1.066758,1.069256,1.065769,1.066758,1.066758,0
2023-11-13,1.069016,1.070549,1.066553,1.069016,1.069016,0
2023-11-14,1.070183,1.086720,1.069359,1.070183,1.070183,0
2023-11-15,1.087831,1.088732,1.083295,1.087831,1.087831,0
2023-11-16,1.085458,1.089396,1.083095,1.085458,1.085458,0
2023-11-17,1.085376,1.089230,1.082520,1.085376,1.085376,0
2023-11-20,1.090703,1.094511,1.089800,1.090703,1.090703,0
2023-11-21,1.094595,1.096732,1.092299,1.094595,1.094595,0
2023-11-22,1.091822,1.092252,1.085458,1.091822,1.091822,0
2023-11-23,1.089087,1.092705,1.088803,1.089087,1.089087,0
2023-11-24,1.090631,1.094415,1.089562,1.090631,1.090631,0
2023-11-27,1.094044,1.095926,1.092586,1.094044,1.094044,0
2023-11-28,1.095842,1.100715,1.093506,1.095842,1.095842,0
2023-11-29,1.100594,1.101686,1.096119,1.100594,1.100594,0
2023-11-30,1.097370,1.098539,1.089491,1.097370,1.097370,0
2023-12-01,1.089206,1.091346,1.083154,1.089206,1.089206,0
2023-12-04,1.088815,1.088732,1.080567,1.088815,1.088815,0
2023-12-05,1.083776,1.084834,1.078260,1.083776,1.083776,0
2023-12-06,1.079366,1.080369,1.077319,1.079366,1.079366,0
2023-12-07,1.076670,1.079680,1.075766,1.076670,1.076670,0
2023-12-08,1.079214,1.080054,1.073146,1.079214,1.079214,0
2023-12-11,1.076577,1.077935,1.074322,1.076577,1.076577,0
2023-12-12,1.076658,1.082204,1.076183,1.076658,1.076658,0
2023-12-13,1.079867,1.080824,1.077400,1.079867,1.079867,0
2023-12-14,1.088613,1.100413,1.088021,1.088613,1.088613,0
2023-12-15,1.099360,1.100594,1.090227,1.099360,1.099360,0
2023-12-18,1.089526,1.093004,1.089455,1.089526,1.089526,0
2023-12-19,1.092383,1.098800,1.091608,1.092383,1.092383,0
2023-12-20,1.098105,1.097972,1.093565,1.098105,1.098105,0
2023-12-21,1.094571,1.099977,1.093625,1.094571,1.094571,0
2023-12-22,1.100619,1.104057,1.099421,1.100619,1.100619,0
2023-12-25,1.102657,1.104240,1.099989,1.102657,1.102657,0
2023-12-26,1.102026,1.103997,1.100958,1.102026,1.102026,0
2023-12-27,1.104301,1.112248,1.102925,1.104301,1.104301,0
2023-12-28,1.110864,1.113945,1.107101,1.110864,1.110864,0
2023-12-29,1.106819,1.108647,1.104326,1.106819,1.106819,0
2024-01-01,1.105583,1.105339,1.103997,1.105583,1.105583,0
2024-01-02,1.103875,1.104606,1.094200,1.103875,1.103875,0
2024-01-03,1.094176,1.096700,1.089871,1.094176,1.094176,0
2024-01-04,1.092777,1.097021,1.091703,1.092777,1.092777,0
2024-01-05,1.094739,1.099638,1.087985,1.094739,1.094739,0
2024-01-08,1.094224,1.097815,1.092454,1.094224,1.094224,0
2024-01-09,1.095170,1.096732,1.091262,1.095170,1.095170,0
2024-01-10,1.093243,1.096972,1.092335,1.093243,1.093243,0
2024-01-11,1.097514,1.099143,1.093147,1.097514,1.097514,0
2024-01-12,1.098165,1.098660,1.093709,1.098165,1.098165,0
2024-01-15,1.094571,1.095890,1.093410,1.094571,1.094571,0
2024-01-16,1.094571,1.094667,1.086708,1.094571,1.094571,0
2024-01-17,1.087879,1.088495,1.084540,1.087879,1.087879,0
2024-01-18,1.088578,1.090750,1.084869,1.088578,1.088578,0
2024-01-19,1.087914,1.089265,1.086827,1.087914,1.087914,0
2024-01-22,1.089230,1.090988,1.088033,1.089230,1.089230,0
2024-01-23,1.088021,1.091822,1.082427,1.088021,1.088021,0
2024-01-24,1.085788,1.093147,1.085187,1.085788,1.085788,0
2024-01-25,1.088175,1.090037,1.082614,1.088175,1.088175,0
2024-01-26,1.084705,1.088329,1.081338,1.084705,1.084705,0
2024-01-29,1.084352,1.084975,1.079715,1.084352,1.084352,0
2024-01-30,1.083447,1.085564,1.081268,1.083447,1.083447,0
2024-01-31,1.084340,1.088566,1.080766,1.084340,1.084340,0
2024-02-01,1.080392,1.086555,1.078028,1.080392,1.080392,0
2024-02-02,1.087465,1.089800,1.078307,1.087465,1.087465,0
2024-02-05,1.078004,1.078749,1.072466,1.078004,1.078004,0
